Algorithms, percent of models, TP, FN, TN, FP, Precision, Recall, F-Measure, Accuracy
Random Forest + Random Tree + SVM, 0.30000000000000004, 0.9997725463436825, 2.274536563175253E-4, 0.4383838383838384, 0.5616161616161616, 0.6403098352427656, 0.9997725463436825, 0.7806488279086738, 0.8580294142650684
Random Forest + Random Tree + SVM, 0.4, 0.9994029341521665, 5.97065847833504E-4, 0.5611111111111111, 0.4388888888888889, 0.6948540749116385, 0.9994029341521665, 0.8197566219991698, 0.888740117317011
Random Forest + Random Tree + SVM, 0.5, 0.9986352780620948, 0.001364721937905152, 0.637979797979798, 0.362020202020202, 0.7339369095854404, 0.9986352780620948, 0.8460660918019943, 0.9075745983167559
Random Forest + Random Tree + SVM, 0.6, 0.9973274195382691, 0.0026725804617309225, 0.695959595959596, 0.30404040404040406, 0.7663685865504853, 0.9973274195382691, 0.8667257874383635, 0.9212360792314885
Random Forest + Random Tree + SVM, 0.7, 0.9955159136325974, 0.004484086367402642, 0.7389610389610389, 0.261038961038961, 0.7922582082957642, 0.9955159136325974, 0.8823325546448275, 0.9307392429045068
Random Forest + Random Tree + SVM, 0.7999999999999999, 0.9935175707949505, 0.006482429205049471, 0.7715909090909091, 0.22840909090909092, 0.8130746319991395, 0.9935175707949505, 0.8942847555850483, 0.9374840601887273
Random Forest + Random Tree + SVM, 0.8999999999999999, 0.9901057659501876, 0.00989423404981235, 0.796969696969697, 0.20303030303030303, 0.829834745333122, 0.9901057659501876, 0.9029132117739068, 0.9413414945167049
Random Forest + Random Tree + SVM, 0.9999999999999999, 0.9451040600477653, 0.05489593995223473, 0.8172727272727273, 0.18272727272727274, 0.8379835109939082, 0.9451040600477653, 0.8883261050726194, 0.9128283601122162
Random Tree, 0.1, 0.9982940975776186, 0.0017059024223814397, 0.9373737373737374, 0.06262626262626263, 0.94096987391756, 0.9982940975776186, 0.9687847399196542, 0.9829125223157358
Random Tree, 0.2, 0.9977823268509042, 0.002217673149095872, 0.9585858585858585, 0.04141414141414142, 0.9601479193984531, 0.9977823268509042, 0.9786034277509517, 0.9878857434327978
Random Tree, 0.30000000000000004, 0.9970431024678722, 0.0029568975321278288, 0.9693602693602693, 0.03063973063973064, 0.9701856159773736, 0.9970431024678722, 0.9834310240125825, 0.990053557765876
Random Tree, 0.4, 0.9957352439440464, 0.004264756055953599, 0.9762626262626263, 0.023737373737373738, 0.9767160261828715, 0.9957352439440464, 0.9861339393522073, 0.9908186687069626
Random Tree, 0.5, 0.9945411122483794, 0.005458887751620608, 0.981010101010101, 0.01898989898989899, 0.9812636231360123, 0.9945411122483794, 0.9878577550556402, 0.9911247130833971
Random Tree, 0.6, 0.9931763903104742, 0.006823609689525759, 0.9841750841750841, 0.015824915824915825, 0.9843162583351579, 0.9931763903104742, 0.9887264754655589, 0.9909036810337499
Random Tree, 0.7, 0.9907393868499293, 0.009260613150070674, 0.9864357864357864, 0.013564213564213565, 0.986493911244946, 0.9907393868499293, 0.9886120911474847, 0.9896527853681641
Random Tree, 0.7999999999999999, 0.9889116342545207, 0.011088365745479358, 0.9881313131313131, 0.011868686868686869, 0.9881405672971604, 0.9889116342545207, 0.9885259504145469, 0.9887146136189747
Random Tree, 0.8999999999999999, 0.9818416164373176, 0.018158383562682436, 0.9894500561167228, 0.010549943883277216, 0.9893691721039334, 0.9818416164373176, 0.9855910213545874, 0.9837626455836096
Random Tree, 0.9999999999999999, 0.9761856021835551, 0.0238143978164449, 0.9905050505050506, 0.009494949494949495, 0.9903671128756871, 0.9761856021835551, 0.9832252235722218, 0.9798010711553176
J48 + Random Forest + Random Tree + SVM, 0.1, 1.0, 0.0, 0.22727272727272727, 0.7727272727272727, 0.5641025641025641, 1.0, 0.7213114754098361, 0.8048967100229534
J48 + Random Forest + Random Tree + SVM, 0.2, 0.9996588195155237, 3.41180484476288E-4, 0.3464646464646465, 0.6535353535353535, 0.6046832464154585, 0.9996588195155237, 0.7535511947593551, 0.8347360367253251
J48 + Random Forest + Random Tree + SVM, 0.30000000000000004, 0.9993176390310474, 6.82360968952576E-4, 0.530976430976431, 0.469023569023569, 0.6805758998993352, 0.9993176390310474, 0.8097078602991389, 0.8810677548244495
J48 + Random Forest + Random Tree + SVM, 0.4, 0.9984646878198568, 0.0015353121801432957, 0.6315656565656566, 0.36843434343434345, 0.7304597230592182, 0.9984646878198568, 0.8436901402513809, 0.9058275950012752
